1,med,high
2,low,med
3,med,high
4,med,high
5,med,high
6,med,high
7,high,med
8,v-high,low
9,low,med
10,high,med
11,low,med
12,med,high
13,high,med
14,med,high
15,low,med
16,v-high,low
17,high,med
18,med,high
19,med,high
20,high,med
21,med,high
22,v-high,low
23,low,med
24,high,med
25,med,high
26,v-high,low
27,low,med
28,v-high,low
29,high,med
30,v-high,low
31,med,high
32,low,med
33,v-high,low
34,med,high
35,med,high
36,med,high
37,med,high
38,med,high
39,v-high,low
40,high,med
41,high,med
42,low,med
43,med,high
44,high,med
45,med,high
46,low,med
47,low,med
48,high,med
49,high,med
50,low,med
51,high,med
52,low,med
53,low,med
54,low,med
55,low,med
56,low,med
57,high,med
58,med,high
59,v-high,low
60,v-high,low
61,low,med
62,high,med
63,v-high,low
64,high,med
65,v-high,low
66,med,high
67,high,med
68,med,high
69,low,med
70,high,med
71,high,med
72,v-high,low
73,med,high
74,low,med
75,med,high
76,v-high,low
77,high,med
78,low,med
79,high,med
80,v-high,low
81,med,high
82,med,high
83,med,high
84,low,med
85,med,high
86,high,med
87,low,med
88,v-high,low
89,low,med
90,low,med
91,low,med
92,high,med
93,high,med
94,high,med
95,med,high
96,v-high,low
97,v-high,low
98,low,med
99,high,med
100,med,high
101,low,med
102,med,high
103,med,high
104,med,high
105,v-high,low
106,high,med
107,low,med
108,high,med
109,high,med
110,med,high
111,v-high,low
112,v-high,low
113,v-high,low
114,high,med
115,low,med
116,v-high,low
117,low,med
118,med,high
119,low,med
120,low,med
121,med,high
122,v-high,low
123,high,med
124,low,med
125,low,med
126,v-high,low
127,v-high,low
128,high,med
129,v-high,low
130,med,high
131,v-high,low
132,med,high
133,low,med
134,v-high,low
135,v-high,low
136,high,med
137,high,med
138,v-high,low
139,v-high,low
140,high,med
141,low,med
142,low,med
143,low,med
144,high,med
145,med,high
146,v-high,low
147,high,med
148,high,med
149,med,high
150,med,high
151,low,med
152,v-high,low
153,med,high
154,med,high
155,low,med
156,high,med
157,low,med
158,low,med
159,high,med
160,med,high
161,v-high,low
162,med,high
163,high,med
164,med,high
165,med,high
166,med,high
167,v-high,low
168,high,med
169,med,high
170,high,med
171,v-high,low
172,high,med
173,v-high,low
174,low,med
175,v-high,low
176,low,med
177,low,med
178,med,high
179,low,med
180,med,high
181,v-high,low
182,med,high
183,high,med
184,v-high,low
185,med,high
186,high,med
187,v-high,low
188,v-high,low
189,v-high,low
190,v-high,low
191,low,med
192,high,med
193,med,high
194,low,med
195,high,med
196,low,med
197,v-high,low
198,v-high,low
199,med,high
200,med,high
201,high,med
202,low,med
203,v-high,low
204,low,med
205,med,high
206,med,high
207,v-high,low
208,v-high,low
209,high,med
210,med,high
211,high,med
212,low,med
213,high,med
214,v-high,low
215,low,med
216,med,high
217,high,med
218,low,med
219,high,med
220,med,high
221,high,med
222,high,med
223,low,med
224,high,med
225,med,high
226,v-high,low
227,med,high
228,low,med
229,high,med
230,low,med
231,v-high,low
232,high,med
233,v-high,low
234,low,med
235,high,med
236,v-high,low
237,high,med
238,med,high
239,high,med
240,v-high,low
241,high,med
242,med,high
243,high,med
244,med,high
245,low,med
246,med,high
247,med,high
248,v-high,low
249,low,med
250,low,med
251,v-high,low
252,high,med
253,high,med
254,high,med
255,high,med
256,low,med
257,v-high,low
258,low,med
259,med,high
260,v-high,low
261,v-high,low
262,v-high,low
263,high,med
264,med,high
265,low,med
266,high,med
267,low,med
268,low,med
269,low,med
270,med,high
271,v-high,low
272,high,med
273,med,high
274,high,med
275,low,med
276,high,med
