1,95,x,med,2
2,50,i,big,2
3,39,e,med,2
4,49,v,med,2
5,93,q,med,4
6,4,l,med,6+
7,98,q,small,4
8,76,g,small,3
9,17,v,big,5
10,52,r,small,2
11,85,g,big,5
12,81,o,med,6+
13,98,m,small,2
14,94,k,med,6+
15,28,s,big,2
16,75,e,small,5
17,60,n,small,4
18,56,t,med,4
19,91,e,med,6+
20,24,f,small,4
21,66,p,med,2
22,82,c,small,6+
23,41,j,big,6+
24,82,x,small,3
25,63,h,med,4
26,43,g,small,4
27,24,h,big,5
28,41,g,small,6+
29,86,e,small,5
30,47,h,small,6+
31,6,t,med,4
32,62,f,big,6+
33,71,r,small,5
34,94,b,med,4
35,97,o,med,6+
36,25,d,med,5
37,30,f,med,4
38,19,r,med,2
39,49,w,small,5
40,84,h,small,5
41,35,x,small,6+
42,23,n,big,5
43,81,s,med,6+
44,27,o,small,6+
45,35,r,med,4
46,47,o,big,3
47,52,m,big,5
48,61,t,small,6+
49,39,l,small,2
50,47,l,big,4
51,72,y,small,2
52,68,q,big,5
53,16,k,big,4
54,0,b,big,4
55,64,f,big,2
56,25,t,big,6+
57,36,g,small,3
58,92,m,med,2
59,43,w,small,6+
60,3,n,small,4
61,26,l,big,5
62,65,j,small,5
63,72,i,small,4
64,86,p,small,5
65,31,t,small,4
66,74,z,med,5
67,7,a,small,6+
68,43,k,med,4
69,47,s,big,2
70,88,g,small,6+
71,47,c,small,6+
72,9,n,small,4
73,30,x,med,6+
74,97,c,big,3
75,27,z,med,2
76,93,y,small,3
77,91,k,small,6+
78,43,c,big,3
79,47,e,small,4
80,81,q,small,5
81,0,q,med,4
82,23,m,med,5
83,69,b,med,6+
84,10,z,big,2
85,30,t,med,4
86,89,s,small,6+
87,97,g,big,3
88,40,h,small,3
89,49,d,big,3
90,51,p,big,6+
91,41,f,big,5
92,71,n,small,2
93,38,l,small,6+
94,78,n,small,2
95,37,b,med,3
96,35,u,small,4
97,42,h,small,2
98,18,p,big,4
99,76,u,small,3
100,41,e,med,5
101,20,s,big,5
102,54,o,med,6+
103,65,k,med,6+
104,37,n,med,4
105,3,z,small,3
106,47,n,small,5
107,30,q,big,4
108,87,h,small,2
109,53,i,small,5
110,65,d,med,3
111,57,v,small,5
112,26,u,small,3
113,97,a,small,2
114,56,i,small,2
115,27,j,big,5
116,22,q,small,5
117,38,w,big,3
118,46,b,med,2
119,61,q,big,2
120,32,i,big,5
121,4,w,med,3
122,44,u,small,4
123,30,d,small,4
124,8,t,big,6+
125,39,w,big,3
126,4,y,small,2
127,88,r,small,3
128,56,b,small,6+
129,71,j,small,2
130,21,g,med,5
131,55,d,small,6+
132,38,r,med,3
133,83,r,big,2
134,68,y,small,6+
135,27,f,small,6+
136,5,d,small,6+
137,72,j,small,5
138,80,o,small,5
139,39,k,small,3
140,86,z,small,3
141,84,n,big,6+
142,8,v,big,5
143,4,p,big,5
144,78,g,small,4
145,30,o,med,6+
146,95,q,small,4
147,61,y,small,2
148,65,h,small,3
149,29,v,med,2
150,10,n,med,4
151,87,c,big,6+
152,46,d,small,5
153,0,m,med,4
154,48,v,med,6+
155,64,t,big,2
156,16,f,small,6+
157,96,f,big,3
158,2,q,big,3
159,95,h,small,2
160,25,z,med,4
161,22,u,small,2
162,5,s,med,3
163,52,u,small,6+
164,4,z,med,6+
165,23,s,med,4
166,70,v,med,6+
167,45,c,small,2
168,15,r,small,5
169,51,x,med,6+
170,10,w,small,3
171,12,b,small,4
172,48,d,small,6+
173,67,p,small,3
174,50,t,big,3
175,16,z,small,4
176,92,x,big,3
177,19,t,big,2
178,48,r,med,2
179,49,o,big,5
180,78,q,med,4
181,66,t,small,5
