1,95,low
2,50,med
3,39,low
4,49,high
5,93,high
6,4,v-high
7,98,med
8,76,v-high
9,17,high
10,52,v-high
11,85,high
12,81,high
13,98,med
14,94,med
15,28,v-high
16,75,low
17,60,v-high
18,56,v-high
19,91,low
20,24,v-high
21,66,med
22,82,med
23,41,high
24,82,med
25,63,low
26,43,low
27,24,v-high
28,41,high
29,86,med
30,47,low
31,6,med
32,62,med
33,71,low
34,94,med
35,97,high
36,25,high
37,30,med
38,19,low
39,49,high
40,84,v-high
41,35,low
42,23,low
43,81,high
44,27,low
45,35,low
46,47,low
47,52,v-high
48,61,high
49,39,low
50,47,low
51,72,v-high
52,68,v-high
53,16,v-high
54,0,v-high
55,64,v-high
56,25,high
57,36,v-high
58,92,v-high
59,43,low
60,3,low
61,26,med
62,65,high
63,72,v-high
64,86,med
65,31,low
66,74,med
67,7,low
68,43,low
69,47,low
70,88,v-high
71,47,low
72,9,high
73,30,med
74,97,high
75,27,low
76,93,high
77,91,low
78,43,low
79,47,low
80,81,high
81,0,v-high
82,23,low
83,69,high
84,10,med
85,30,med
86,89,high
87,97,high
88,40,v-high
89,49,high
90,51,low
91,41,high
92,71,low
93,38,med
94,78,med
95,37,high
96,35,low
97,42,med
98,18,med
99,76,v-high
100,41,high
101,20,v-high
102,54,med
103,65,high
104,37,high
105,3,low
106,47,low
107,30,med
108,87,low
109,53,high
110,65,high
111,57,high
112,26,med
113,97,high
114,56,v-high
115,27,low
116,22,med
117,38,med
118,46,med
119,61,high
120,32,v-high
121,4,v-high
122,44,v-high
123,30,med
124,8,v-high
125,39,low
126,4,v-high
127,88,v-high
128,56,v-high
129,71,low
130,21,high
131,55,low
132,38,med
133,83,low
134,68,v-high
135,27,low
136,5,high
137,72,v-high
138,80,v-high
139,39,low
140,86,med
141,84,v-high
142,8,v-high
143,4,v-high
144,78,med
145,30,med
146,95,low
147,61,high
148,65,high
149,29,high
150,10,med
151,87,low
152,46,med
153,0,v-high
154,48,v-high
155,64,v-high
156,16,v-high
157,96,v-high
158,2,med
159,95,low
160,25,high
161,22,med
162,5,high
163,52,v-high
164,4,v-high
165,23,low
166,70,med
167,45,high
168,15,low
169,51,low
170,10,med
171,12,v-high
172,48,v-high
173,67,low
174,50,med
175,16,v-high
176,92,v-high
177,19,low
178,48,v-high
179,49,high
180,78,med
181,66,med
182,83,low
183,26,med
184,53,high
185,71,low
186,44,v-high
187,98,med
188,31,low
189,10,med
190,57,high
191,76,v-high
192,2,med
193,66,med
194,31,low
195,21,high
196,24,v-high
197,88,v-high
198,31,low
199,30,med
200,29,high
201,90,med
202,80,v-high
203,72,v-high
204,94,med
205,59,low
206,58,med
207,5,high
208,18,med
209,74,med
210,10,med
211,80,v-high
212,91,low
213,88,v-high
214,55,low
215,7,low
216,41,high
217,19,low
218,38,med
219,61,high
220,80,v-high
221,42,med
222,57,high
223,38,med
224,58,med
225,44,v-high
226,25,high
227,90,med
228,77,high
229,73,high
230,3,low
231,30,med
232,94,med
233,30,med
234,74,med
235,97,high
236,43,low
237,14,med
238,59,low
239,38,med
240,66,med
241,68,v-high
242,49,high
243,4,v-high
244,60,v-high
245,69,high
246,23,low
247,34,med
248,56,v-high
249,77,high
250,81,high
251,39,low
252,12,v-high
253,63,low
254,46,med
255,20,v-high
256,28,v-high
257,98,med
258,0,v-high
259,87,low
260,27,low
261,39,low
262,66,med
263,96,v-high
264,78,med
265,66,med
266,69,high
267,25,high
268,82,med
269,84,v-high
270,59,low
271,70,med
272,2,med
273,32,v-high
274,75,low
275,6,med
276,92,v-high
277,23,low
278,91,low
279,41,high
280,34,med
281,43,low
282,44,v-high
283,66,med
284,40,v-high
285,11,low
286,0,v-high
287,50,med
288,58,med
289,85,high
290,11,low
291,20,v-high
292,5,high
293,87,low
294,64,v-high
295,23,low
296,31,low
297,4,v-high
298,59,low
299,85,high
300,51,low
301,49,high
302,64,v-high
303,10,med
304,70,med
305,36,v-high
306,47,low
307,46,med
308,79,low
309,78,med
310,34,med
311,14,med
312,45,high
313,62,med
314,50,med
315,5,high
316,98,med
317,92,v-high
318,78,med
319,88,v-high
320,45,high
321,79,low
322,74,med
323,37,high
324,86,med
325,28,v-high
326,87,low
327,7,low
328,56,v-high
329,35,low
330,7,low
331,48,v-high
332,49,high
333,31,low
334,86,med
335,82,med
336,50,med
337,12,v-high
338,68,v-high
339,4,v-high
340,17,high
341,65,high
342,75,low
343,76,v-high
344,33,high
345,37,high
346,91,low
347,98,med
348,50,med
349,20,v-high
350,70,med
351,95,low
352,0,v-high
353,74,med
354,13,high
355,39,low
356,19,low
357,36,v-high
358,88,v-high
359,75,low
360,45,high
361,97,high
362,0,v-high
363,81,high
364,10,med
365,77,high
366,58,med
367,85,high
368,69,high
369,95,low
370,13,high
371,15,low
372,78,med
373,75,low
374,88,v-high
375,77,high
376,7,low
377,16,v-high
378,8,v-high
379,7,low
380,87,low
381,46,med
382,60,v-high
383,11,low
384,69,high
385,30,med
386,79,low
387,18,med
388,49,high
389,18,med
390,78,med
391,92,v-high
392,62,med
393,51,low
394,34,med
395,65,high
396,32,v-high
397,12,v-high
398,94,med
399,51,low
400,94,med
401,24,v-high
402,46,med
403,97,high
404,4,v-high
405,19,low
406,93,high
407,82,med
408,30,med
409,78,med
410,60,v-high
411,76,v-high
412,86,med
413,27,low
414,95,low
415,88,v-high
416,67,low
417,39,low
418,68,v-high
419,20,v-high
420,9,high
421,80,v-high
422,81,high
423,2,med
424,10,med
425,21,high
